Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,AcadOrg,Instructor,Capacity,Room,MtgStart,MtgEnd,Days,StartDate,EndDate,Term,Campus,ClassNbr,TotalCredits,DUP,FULL,OVER
CHM,101,D02,DED,8W1,4,4,20,29,STEM,"Olagunju,Olufunke Modupe",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35516,80,,,
CHM,101,D02L,LAB,8W1,0,0,20,29,STEM,"Olagunju,Olufunke Modupe",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35517,0,,,
BIO,142,20W,LEC,8W1,4,4,2,24,STEM,"Ouellette,Donald Edward",40,328,11:00:00 AM,1:50:00 PM,TR,5/23/2022,7/18/2022,2223,HT,35257,8,,,
BIO,142,20WL,LAB,8W1,0,0,2,24,STEM,"Ouellette,Donald Edward",24,333,8:00:00 AM,10:50:00 AM,TR,5/23/2022,7/18/2022,2223,HT,35258,0,,,
ITP,100,DN60,DED,DYN,3,3,2,10,STEM,"Owens,Sidney",30,TUAL, , , ,5/31/2022,8/8/2022,2223,MAIN,38344,6,,,
ITE,120,D01,DED,8W1,3,3,19,24,STEM,"Pierce,Nicholas Allen",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35238,57,,,
ITE,120,D02,DED,5W2,3,3,2,24,STEM,"Pierce,Nicholas Allen",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35524,6,,,
ITN,109,DJ01,DED,8W1,3,3,16,23,STEM,"Pierce,Nicholas Allen",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41769,48,,,
ITP,100,D01,DED,8W1,3,3,16,24,STEM,"Pierce,Nicholas Allen",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35287,48,,,
MTH,162,D01,DED,8W1,3,3,18,32,STEM,"Riggs,Robert E",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35211,54,,,
MTH,263,A01W,LEC,DYN,4,4,1,1,STEM,"Rockson,Thomas A",30,WMMA,10:10:00 AM,12:10:00 PM,MTWR,5/31/2022,7/1/2022,2223,HT,41734,4,,FULL,
MTH,245,D03,DED,8W1,3,3,23,28,STEM,"Schmidt,Amy D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35218,69,,,
MTH,261,D01,DED,8W1,3,3,26,32,STEM,"Schmidt,Amy D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35466,78,,,
MTH,264,D01,DED,8W1,4,4,18,32,STEM,"Schmidt,Amy D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35237,72,,,
ITP,100,DN20,DED,DYN,3,3,4,5,STEM,"Snider,David J",30,TUAL, , , ,5/16/2022,8/8/2022,2223,MAIN,38342,12,,,
BIO,101,D02,DED,8W1,4,4,22,30,STEM,"Song,Pengfei",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35272,88,,,
BIO,101,D02L,LAB,8W1,0,0,22,30,STEM,"Song,Pengfei",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35273,0,,,
MDE,60,50H,LEC,8W1,3,3,8,18,STEM,"Spencer,Laura Ross",24,309,4:00:00 PM,6:45:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,38637,24,,,
CHM,111,D02,DED,8W1,4,4,6,29,STEM,"Spryn,Lucinda A",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35433,24,,,
CHM,112,D01,DED,8W1,4,4,20,26,STEM,"Spryn,Lucinda A",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35435,80,,,
CHM,112,D01L,LAB,8W1,0,0,20,26,STEM,"Spryn,Lucinda A",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35436,0,,,
CHM,112,D02,DED,5W2,4,4,11,24,STEM,"Spryn,Lucinda A",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35521,44,#REF!,,
CHM,112,D02L,LAB,5W2,0,0,11,24,STEM,"Spryn,Lucinda A",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35522,0,,,
BIO,101,01H,LEC,8W1,4,4,5,24,STEM,"Staff,Tba",48,421,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35247,20,,,
